Papel,Cotação,Tipo,Data ult cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2021,P/Ativos,Marg. Líquida,2020,P/Cap. Giro,EBIT / Ativo,2019,P/Ativ Circ Liq,ROIC,2018,Div. Yield,ROE,2017,EV / EBITDA,Liquidez Corr,2016,EV / EBIT,Div Br/ Patrim,2015,Cres. Rec (5a),Giro Ativos,Ativo,Depósitos,Cart. de Crédito,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida_12meses,Receita Líquida_3meses,EBIT_12meses,EBIT_3meses,Result Int Financ_12meses,Result Int Financ_3meses,Rec Serviços_12meses,Rec Serviços_3meses,Lucro Líquido_12meses,Lucro Líquido_3meses
RAPT4,10.60,PN N1,03/11/2021,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,10.16,Material de Transporte,15.77,Material Rodoviário,32.221.000,3665230000,30/06/2021,5628370000,345776000,0.66,4.25,2.49,4.33,1.61,6.60,-11.74,3.65,26.5,-18.65,0.50,13.8,-31.84,0.40,15.1,21.84,1.30,11.0,49.05,-4.91,15.6,30.98,6.1,37.8,109.67,4.67,"
2.08",56.13,"5,60",1.61,NaN,27.5,0.79,9168900000,NaN,NaN,3676730000,1713590000,1963140000,5444150000,2283580000,7288790000,2113800000,1004300000,272826000,NaN,NaN,NaN,NaN,862621000,122146000
FRTA3,5.59,ON NM,03/11/2021,POMIFRUTAS ON NM,4.30,Agropecuária,10.75,Agricultura,70.449,11479700,31/03/2021,75847700,2053610,0.72,8.85,0.63,0.72,-0.17,-32.28,-0.53,-173.93,38.0,29.88,0.94,-0.5,-10.27,0.32,10.6,-19.80,-0.15,-0.2,56.01,-0.12,-0.2,-40.28,0.0,-2.0,-61.70,114.23,"
0.08",11.24,"-1.149,21",-0.98,NaN,-32.1,0.34,35904000,NaN,NaN,64780000,412000,64368000,6678000,-66288000,12275000,4582000,-66000,-287000,NaN,NaN,NaN,NaN,1297000,-475000
POSI3,8.99,ON NM,03/11/2021,POSITIVO INF ON NM,3.85,Computadores e Equipamentos,15.58,Computadores e Equipamentos,62.076.600,1274780000,30/06/2021,1596310000,141800000,0.45,4.21,2.13,6.64,1.16,7.74,-15.35,6.83,23.0,144.49,0.45,6.6,81.80,0.41,10.8,-49.49,1.27,6.0,354.92,2.58,9.8,-27.97,3.8,27.6,12.27,6.77,"
1.66",73.12,"8,55",0.74,NaN,10.1,0.91,3125370000,NaN,NaN,817975000,496452000,321523000,2512100000,1098110000,2835450000,785892000,186777000,73893000,NaN,NaN,NaN,NaN,302651000,51220000
RADL3,23.85,ON,03/11/2021,RAIADROGASIL ON,21.37,Comércio e Distribuição,28.31,Medicamentos e Outros Produtos,152.874.000,39398500000,30/06/2021,40688900000,1651930000,1.49,52.99,0.45,2.58,8.44,2.82,1.92,31.19,29.7,1.77,1.78,5.7,-4.58,2.81,3.4,12.72,18.04,9.0,96.69,-17.06,11.4,-37.26,0.4,15.9,51.16,16.46,"
1.45",75.56,"32,22",0.33,NaN,16.0,1.58,14018300000,NaN,NaN,1557040000,266685000,1290350000,7011310000,4665460000,22135500000,5868260000,1262990000,382006000,NaN,NaN,NaN,NaN,743500000,252755000
PTBL3,9.54,ON,03/11/2021,PORTOBELLO S/A ON,6.10,Construção e Engenharia,19.12,Produtos para Construção,18.915.800,1474210000,30/06/2021,1943570000,154529000,-4.41,10.84,0.88,-0.21,3.66,2.61,-14.90,5.72,40.0,57.01,0.87,15.2,45.98,0.75,8.0,29.24,15.71,13.1,6.55,-2.05,16.4,-1.75,5.8,33.7,175.80,5.98,"
1.12",7.51,"7,54",1.60,NaN,11.6,0.86,1975020000,NaN,NaN,643560000,174192000,469368000,851685000,403103000,1696510000,464261000,257774000,73235000,NaN,NaN,NaN,NaN,136026000,40178000
PFRM3,5.03,ON NM,03/11/2021,PROFARMA ON NM,4.66,Comércio e Distribuição,7.07,Medicamentos e Outros Produtos,1.359.960,622779000,30/06/2021,1171480000,123813000,0.80,6.32,0.80,3.07,0.57,8.80,-13.28,2.61,14.3,7.02,0.11,4.0,-17.54,0.16,1.7,-5.72,0.74,6.0,64.63,5.46,8.9,-44.88,0.0,9.1,-8.94,3.36,"
1.48",80.00,"4,91",0.74,NaN,9.9,1.49,3944600000,NaN,NaN,802778000,254082000,548696000,2586090000,1088960000,5890890000,1559200000,238515000,79854000,NaN,NaN,NaN,NaN,98600000,33742000
QUAL3,18.00,ON NM,03/11/2021,QUALICORP ON NM,16.86,Serv.Méd.Hospit. Análises e Diagnósticos,33.09,Serv.Méd.Hospit. Análises e Diagnósticos,49.037.800,5112250000,30/06/2021,5989850000,284014000,6.76,12.77,1.41,5.20,3.03,5.95,-9.95,6.24,80.1,-37.85,2.46,39.4,-44.36,1.15,19.6,-5.46,-6.89,18.5,242.89,-4.13,26.4,-56.89,12.2,23.7,69.25,5.14,"
0.67",55.61,"7,31",0.99,NaN,0.3,0.47,4430220000,NaN,NaN,1677070000,799470000,877598000,1497790000,1689510000,2079890000,517201000,819161000,168456000,NaN,NaN,NaN,NaN,400433000,90303000
RCSL4,1.49,PN,03/11/2021,RECRUSUL PN,1.33,Material de Transporte,2.25,Material Rodoviário,2.981.610,112976000,30/06/2021,109709000,75823000,2.76,157.35,0.01,4.93,-2.51,-0.59,0.00,58.63,17.8,9.44,2.50,4.3,-15.82,1.83,1.6,1.19,32.12,3.1,32.34,-1.50,3.4,-15.29,0.0,-1.6,-74.72,39.65,"
1.13",-44.36,"56,93",-0.00,NaN,787.7,0.73,61628000,NaN,NaN,85000,3352000,-3267000,31497000,-45030000,45270000,14566000,1927000,625000,NaN,NaN,NaN,NaN,718000,197000
RNEW4,2.65,PN N2,03/11/2021,RENOVA PN N2,2.52,Energia Elétrica,6.80,Energia Elétrica,704.292,290122000,30/06/2021,1776580000,109480000,1.92,6.79,0.39,5.16,-0.34,-7.71,-7.67,-4.04,21.5,-19.94,3.05,-75.6,-39.91,0.11,44.9,20.49,0.64,-2.7,-47.64,-0.13,-3.2,-61.80,0.0,-5.1,815.00,-27.34,"
1.58",0.00,"-24,72",-2.18,NaN,-49.9,0.04,2636520000,NaN,NaN,1838670000,352213000,1486460000,1232060000,-844112000,95087000,25601000,-71881000,-5273000,NaN,NaN,NaN,NaN,42705000,-54331000
RNEW11,8.30,UNT N2,03/11/2021,RENOVA UNT N2,8.01,Energia Elétrica,20.49,Energia Elétrica,122.224,302895000,30/06/2021,1789360000,109480000,0.00,7.09,1.17,3.62,-0.36,-23.13,-9.68,-4.21,21.5,-17.82,3.19,-75.6,-40.71,0.11,44.9,16.18,0.67,-2.7,-44.44,-0.13,-3.2,-64.21,0.0,-5.1,1.00,-27.54,"
1.58",-74.27,"-24,89",-2.18,NaN,-49.9,0.04,2636520000,NaN,NaN,1838670000,352213000,1486460000,1232060000,-844112000,95087000,25601000,-71881000,-5273000,NaN,NaN,NaN,NaN,42705000,-54331000
