Papel,Cotação,P/L,P/VP,PSR,Div.Yield%,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA%,Mrg Ebit%,Mrg. Líq.,Liq. Corr.,ROIC%,ROE%,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a%
CFLU4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,10.72,1.1,17.68,32.15,0.0,60351000.0,0.06,8.14
MNSA4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.15,-362.66,3.63,-13.5,145.7,0.0,-9105000.0,-6.52,-41.11
IVTT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,1083050000.0,0.0,20.67
POPR4,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66,5.65,1.08,15.25,19.93,0.0,545803000.0,0.82,30.93
CLAN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,1012240000.0,0.0,-63.96
CSTB3,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.85,28.98,2.6,22.4,20.11,0.0,8420670000.0,0.14,31.91
PMET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,-290863000.0,0.0,37.74
MNSA3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.15,-362.66,3.63,-13.5,145.7,0.0,-9105000.0,-6.52,-41.11
PORP4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08,0.0,22399000.0,0.0,13.66
CSTB4,147.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.85,28.98,2.6,22.4,20.11,0.0,8420670000.0,0.14,31.91
PLDN4,486.0,-553.07,1.08,0.919,0.0,0.611,1.07,-75.56,3.1,-33.12,-33.12,-1.22,-0.17,10.81,-1.27,-0.2,0.0,289939000.0,0.01,10.26
GFSA3,2.22,-520.59,0.46,0.647,0.0,0.185,0.63,8.04,2.12,16.21,14.4,8.04,-0.1,1.75,2.65,-0.09,22704000.0,1630560000.0,0.78,18.8
